z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.00,     0.00,     0.00,     0.00,   298.15,     0.00
 2.0,     0.02,     0.12,    -0.00,     0.20,   722.52,   119.30
 4.0,     0.14,     0.17,    -0.01,     0.28,   940.15,   130.57
 6.0,     0.33,     0.19,    -0.01,     0.30,  1031.66,   131.44
 8.0,     0.55,     0.20,    -0.01,     0.30,  1084.84,   129.45
10.0,     0.80,     0.21,    -0.02,     0.31,  1121.19,   126.97
12.0,     1.04,     0.23,    -0.02,     0.31,  1149.24,   124.08
14.0,     1.28,     0.27,    -0.02,     0.32,  1172.21,   121.31
16.0,     1.53,     0.31,    -0.02,     0.32,  1191.52,   118.94
18.0,     1.77,     0.37,    -0.02,     0.33,  1207.99,   117.32
20.0,     2.00,     0.43,    -0.02,     0.33,  1222.26,   116.45
22.0,     2.23,     0.49,    -0.01,     0.33,  1234.70,   116.31
24.0,     2.44,     0.55,    -0.01,     0.34,  1245.61,   116.94
26.0,     2.65,     0.61,    -0.01,     0.34,  1255.30,   118.14
28.0,     2.85,     0.66,    -0.01,     0.35,  1263.87,   119.82
30.0,     3.04,     0.72,    -0.01,     0.35,  1271.50,   122.04
32.0,     3.22,     0.78,    -0.01,     0.36,  1278.34,   124.68
34.0,     3.39,     0.83,    -0.01,     0.36,  1284.52,   127.70
36.0,     3.56,     0.88,    -0.01,     0.36,  1290.11,   131.11
38.0,     3.71,     0.93,    -0.01,     0.37,  1295.15,   134.84
40.0,     3.86,     0.97,    -0.00,     0.37,  1299.64,   138.98
42.0,     4.00,     1.02,    -0.00,     0.38,  1303.69,   143.42
44.0,     4.14,     1.06,    -0.00,     0.38,  1307.26,   148.09
46.0,     4.26,     1.10,    -0.00,     0.39,  1310.31,   153.06
48.0,     4.39,     1.14,    -0.00,     0.40,  1312.86,   158.21
50.0,     4.50,     1.17,    -0.00,     0.40,  1314.80,   163.57
52.0,     4.62,     1.21,    -0.00,     0.41,  1316.11,   169.28
54.0,     4.72,     1.24,    -0.00,     0.42,  1316.76,   175.37
56.0,     4.82,     1.27,    -0.00,     0.43,  1316.81,   181.78
58.0,     4.92,     1.30,     0.00,     0.44,  1316.20,   188.53
60.0,     5.01,     1.34,     0.00,     0.45,  1315.01,   195.58
62.0,     5.10,     1.37,     0.00,     0.46,  1313.26,   202.73
64.0,     5.18,     1.40,     0.00,     0.46,  1310.96,   209.91
66.0,     5.26,     1.42,     0.00,     0.47,  1308.16,   217.23
68.0,     5.34,     1.45,     0.00,     0.48,  1304.78,   224.70
70.0,     5.41,     1.48,     0.00,     0.49,  1300.91,   232.27
72.0,     5.48,     1.51,     0.00,     0.50,  1296.55,   239.87
74.0,     5.54,     1.53,     0.00,     0.51,  1291.76,   247.38
76.0,     5.60,     1.56,     0.00,     0.51,  1286.57,   254.83
78.0,     5.66,     1.58,     0.00,     0.52,  1281.04,   262.23
80.0,     5.72,     1.61,     0.00,     0.53,  1275.18,   269.55
82.0,     5.77,     1.63,     0.00,     0.54,  1269.06,   276.68
84.0,     5.82,     1.65,     0.00,     0.55,  1262.71,   283.58
86.0,     5.87,     1.67,     0.00,     0.56,  1256.04,   290.24
88.0,     5.92,     1.70,     0.00,     0.57,  1248.99,   296.63
90.0,     5.96,     1.72,     0.00,     0.58,  1241.57,   302.80
92.0,     6.00,     1.74,     0.00,     0.59,  1233.78,   308.82
94.0,     6.03,     1.77,     0.00,     0.60,  1225.66,   314.66
96.0,     6.06,     1.79,     0.00,     0.61,  1217.20,   320.40
98.0,     6.09,     1.81,     0.00,     0.62,  1208.45,   325.97
100.0,     6.12,     1.83,     0.00,     0.63,  1199.35,   331.40
102.0,     6.15,     1.86,     0.00,     0.64,  1189.95,   336.78
104.0,     6.17,     1.88,     0.00,     0.65,  1180.36,   342.06
106.0,     6.19,     1.90,     0.00,     0.66,  1170.57,   347.16
108.0,     6.21,     1.93,     0.00,     0.67,  1160.73,   351.98
110.0,     6.22,     1.95,     0.00,     0.68,  1150.84,   356.43
112.0,     6.24,     1.97,     0.00,     0.69,  1140.93,   360.43
114.0,     6.25,     1.98,     0.00,     0.69,  1130.97,   363.99
116.0,     6.27,     2.00,     0.00,     0.70,  1120.98,   367.13
118.0,     6.28,     2.02,     0.00,     0.71,  1110.99,   369.94
120.0,     6.29,     2.03,     0.00,     0.72,  1100.98,   372.43
122.0,     6.30,     2.04,     0.00,     0.72,  1090.98,   374.66
124.0,     6.30,     2.06,     0.00,     0.73,  1080.96,   376.60
126.0,     6.31,     2.07,     0.00,     0.74,  1070.92,   378.24
128.0,     6.32,     2.08,     0.00,     0.75,  1060.85,   379.58
130.0,     6.33,     2.08,     0.00,     0.76,  1050.79,   380.60
132.0,     6.33,     2.09,     0.00,     0.77,  1040.77,   381.37
134.0,     6.33,     2.10,     0.00,     0.78,  1030.79,   381.90
136.0,     6.34,     2.10,     0.00,     0.79,  1020.81,   382.16
138.0,     6.34,     2.11,     0.00,     0.79,  1010.75,   382.16
140.0,     6.34,     2.11,     0.00,     0.80,  1000.62,   381.86
142.0,     6.34,     2.12,     0.00,     0.81,   990.39,   381.23
144.0,     6.33,     2.12,    -0.00,     0.82,   980.00,   380.33
146.0,     6.33,     2.13,    -0.00,     0.83,   969.44,   379.19
148.0,     6.32,     2.13,    -0.00,     0.83,   958.83,   377.82
150.0,     6.31,     2.14,    -0.00,     0.83,   948.18,   376.05
152.0,     6.30,     2.14,    -0.00,     0.84,   937.71,   374.19
154.0,     6.29,     2.16,    -0.00,     0.85,   927.07,   372.04
156.0,     6.27,     2.15,     0.00,     0.85,   916.98,   369.17
158.0,     6.26,     2.20,     0.00,     0.87,   906.88,   371.01
160.0,     6.24,     2.20,     0.00,     0.88,   889.39,   362.62
164.0,     6.13,     1.96,     0.00,     0.85,   855.95,   332.87
168.0,     6.11,     1.97,     0.00,     0.86,   837.30,   323.28
172.0,     6.09,     1.97,     0.00,     0.87,   819.28,   314.32
176.0,     6.07,     1.97,     0.00,     0.88,   801.57,   305.62
180.0,     6.04,     1.97,    -0.00,     0.88,   784.22,   296.98
184.0,     6.02,     1.97,    -0.00,     0.88,   767.44,   288.47
188.0,     5.98,     1.98,    -0.00,     0.88,   751.27,   280.14
192.0,     5.95,     1.98,    -0.01,     0.88,   735.74,   272.00
196.0,     5.92,     1.98,    -0.01,     0.89,   721.00,   264.09
200.0,     5.89,     1.98,    -0.01,     0.89,   706.97,   256.39
204.0,     5.86,     1.98,    -0.01,     0.89,   693.60,   248.95
208.0,     5.82,     1.97,    -0.00,     0.89,   680.87,   241.80
212.0,     5.79,     1.97,    -0.00,     0.89,   668.72,   234.91
216.0,     5.76,     1.96,     0.00,     0.89,   657.15,   228.28
220.0,     5.73,     1.96,     0.00,     0.90,   646.08,   221.93
